BTC-USD,Bitcoin
ETH-USD,Ethereum
BNB-USD,BinanceCoin
ADA-USD,Cardano
DOGE-USD,Dogecoin
XRP-USD,XRP
DOT1-USD,Polkadot
BCH-USD,BitcoinCash
LTC-USD,Litecoin
UNI3-USD,Uniswap
LINK-USD,Chainlink
SOL1-USD,Solana
XLM-USD,Stellar Lumen
MATIC-USD,MaticNetwork
VET-USD,HEX
HEX-USD,VeChain
ETC-USD,EthClassic
THETA-USD,Theta
EOS-USD,EOS
TRX-USD,Tron
AAVE-USD,Aave Protocol
FIL-USD,FilecoinFutures
NEO-USD,NEO
XMR-USD,Monero
LUNA1-USD,Terra
BSV-USD,BitcoinSV
MIOTA-USD,IOTA
KSM-USD,Tezos
XTZ-USD,Kusama
ATOM1-USD,Cosmos
AVAX-USD,Avalanche
MKR-USD,Maker
ALGO-USD,Alogorand
CRO-USD,CryptocomCoin
BTT1-USD,BitTorrent
COMP-USD,Compound
DASH-USD,Dash
CTC1-USD,CreditCoin
ZEC-USD,ZCash
WAVES-USD,Waves
HBAR-USD,HederaHashgraph
SNX-USD,SynthetixNetwork
YFI-USD,YearnFinance
SUSHI-USD,Sushi
EGLD-USD,Elrond
XEM-USD,NEM
CHZ-USD,Chiliz
DCR-USD,Decred
ZIL-USD,Zilliqa
CCXX-USD,Counos